count,index,impulsemeasures,parameters,calculated,measures,key
26,223,"[u'3.311', u'2250', u'-6.7477', u'0.36999', u'1267.5']","[u'0.077846', u'0.89', u'-0.00875', u'1819', u'38.617']","[u'4.455', u'390', u'-17.073', u'0.36634', u'3613.4']","[u'6.9608', u'1323.6', u'-17.057', u'0.36865', u'3513.7']",5188082122883072
26,235,"[u'3.8639', u'2390', u'-0.19271', u'0.49692', u'269.38']","[u'0.093855', u'0.9', u'-0.0095833', u'354', u'49.057']","[u'4.7894', u'270', u'-12.542', u'0.48372', u'1074.7']","[u'6.117', u'4639.4', u'-12.545', u'0.48586', u'1056.7']",5189911778951168
26,242,"[u'4.3601', u'4055', u'-5.3872', u'0.5237', u'500.12']","[u'0.057982', u'0.94', u'-0.0088333', u'695', u'14.755']","[u'4.536', u'700', u'-7.5043', u'0.49152', u'1809.8']","[u'2.0183', u'2475', u'-7.5045', u'0.4931', u'1773']",5206344323825664
26,94,"[u'3.0285', u'1680', u'-10.377', u'0.22233', u'4981.9']","[u'0.033991', u'0.94', u'-0.0095833', u'22050', u'0.66177']","[u'2.1854', u'1700', u'7.5546', u'0.28785', u'10307']","[u'7.3993', u'7236.5', u'7.5558', u'0.28924', u'11014']",5211085967720448
26,102,"[u'6.509', u'10685', u'-64.273', u'0.49546', u'2347.7']","[u'0.0099546', u'0.99', u'-0.00425', u'4126', u'0.35291']","[u'2.5784', u'4200', u'9.3622', u'0.48691', u'6004.2']","[u'2.4422', u'8220.6', u'9.3025', u'0.49967', u'5776.3']",5220113988976640
26,113,"[u'4.3141', u'1760', u'-9.0568', u'0.45212', u'1826.2']","[u'0.084785', u'0.91', u'-0.01', u'2916', u'32.499']","[u'6.1875', u'390', u'-18.539', u'0.48352', u'4902.1']","[u'7.8505', u'4788.4', u'-18.546', u'0.4844', u'4741.1']",5227363893772288
28,90,"[u'0.42276', u'6885', u'4.3703', u'0.066893', u'260.95']","[u'0.028957', u'0.71', u'0.00475', u'373', u'12.815']","[u'0.34504', u'920', u'4.9139', u'0.055153', u'1119.9']","[u'4.1325', u'1136.8', u'4.8977', u'0.063451', u'1098.6']",5239003255144448
27,111,"[u'2.4786', u'4700', u'-0.052006', u'0.40142', u'115.11']","[u'0.041882', u'0.94', u'-0.00525', u'168', u'96.22']","[u'3.5913', u'890', u'-17.629', u'0.3549', u'590.44']","[u'6.0579', u'1822', u'-17.63', u'0.35824', u'581.43']",5243693359431680
26,103,"[u'0.72501', u'6170', u'-2.5648', u'0.1003', u'853.58']","[u'0.032948', u'0.8', u'0.0044167', u'1191', u'43.874']","[u'0.94942', u'680', u'-13.144', u'0.08805', u'2690.3']","[u'7.6186', u'1040.2', u'-13.133', u'0.095942', u'2626']",5258450867060736
26,115,"[u'0.46417', u'6250', u'-44.695', u'0.041792', u'5590.6']","[u'0.012948', u'0.83', u'-0.0073333', u'18463', u'19.239']","[u'0.50404', u'4350', u'-16.385', u'0.040098', u'10161']","[u'5.2677', u'9335.2', u'-16.337', u'0.042278', u'9413.8']",5260280523128832
